1, 21033.14292473501, 21350.730290404565, 21033.14292473501, 19479.56425427167, 20372.580495103444, 19479.56425427167
3, 21189.181212596035, 21110.0455178428, 21189.181212596035, 20503.229688119547, 20708.038573572456, 20503.229688119547
4, 21189.181212596035, 21110.0455178428, 21189.181212596035, 20703.923792242567, 20784.59155566886, 20703.923792242567
5, 21244.791325259972, 21278.100774199458, 21244.791325259972, 20888.770229202953, 20889.297564767556, 20888.770229202953
6, 21297.493285173903, 21206.16415379564, 21297.493285173903, 21095.380242832052, 21269.11316269658, 21095.380242832052
7, 21457.30672262468, 21133.8674566566, 21457.30672262468, 21186.191714206743, 21245.75523450853, 21186.191714206743
8, 21470.784311980588, 21186.43680063757, 21470.784311980588, 21271.068146317048, 21253.057761281772, 21271.068146317048
9, 21566.619812354573, 21314.557581533045, 21566.619812354573, 21363.74045300297, 21256.72068642383, 21363.74045300297
10, 21636.22464696989, 20649.061081269665, 21636.22464696989, 21436.954521476146, 21219.1448796094, 21436.954521476146
11, 21729.422954024893, 21473.265243319274, 21729.422954024893, 21493.16549648844, 21229.32516403907, 21493.16549648844
12, 21729.422954024893, 21473.265243319274, 21729.422954024893, 21556.491878165893, 21205.040339127194, 21556.491878165893
13, 21832.897757079074, 21614.79487615964, 21832.897757079074, 21621.233220400234, 21232.12299494793, 21621.233220400234
14, 21922.808600691442, 21272.503030813514, 21922.808600691442, 21683.35536889509, 21171.116788841366, 21683.35536889509
15, 21970.713579461462, 21427.588810520832, 21970.713579461462, 21757.616842334122, 21228.103502116646, 21757.616842334122
16, 22041.376816206277, 21360.854501174388, 22041.376816206277, 21830.36510969667, 21258.03158094252, 21830.36510969667
17, 22125.781739427595, 21097.186555039207, 22125.781739427595, 21904.17672059273, 21357.573357229903, 21904.17672059273
18, 22304.5924434287, 21174.159571232212, 22304.5924434287, 21971.399304394046, 21313.620537597697, 21971.399304394046
19, 22353.968493135184, 21139.627562327583, 22353.968493135184, 22032.38561111418, 21299.44411524804, 22032.38561111418
20, 22353.968493135184, 21139.627562327583, 22353.968493135184, 22115.659985203383, 21289.1052320617, 22115.659985203383
21, 22415.353786194486, 21170.394810666385, 22415.353786194486, 22204.920826447527, 21224.595787093986, 22204.920826447527
22, 22421.549001343672, 20934.50649498509, 22421.549001343672, 22276.72096889547, 21202.723234883266, 22276.72096889547
23, 22506.95407205718, 21004.28016510738, 22506.95407205718, 22328.030783128837, 21179.488702101422, 22328.030783128837
24, 22547.307857140964, 21126.650976293055, 22547.307857140964, 22364.36525389805, 21242.708475690382, 22364.36525389805
25, 22674.8803630613, 21451.123103592156, 22674.8803630613, 22414.821701034714, 21147.10936476807, 22414.821701034714
26, 22674.8803630613, 21451.123103592156, 22674.8803630613, 22471.148246149416, 21141.171740784575, 22471.148246149416
27, 22733.781668732667, 21088.320899564453, 22733.781668732667, 22529.741456332016, 21231.69614700108, 22529.741456332016
28, 22794.331736416723, 21932.773840045527, 22794.331736416723, 22572.543579378296, 21237.47538690625, 22572.543579378296
29, 22828.77657529446, 21315.95872078887, 22828.77657529446, 22649.298594158972, 21349.95394502465, 22649.298594158972
30, 22896.010572447358, 20893.978636248936, 22896.010572447358, 22699.50113642219, 21391.945510719008, 22699.50113642219
31, 22928.19546390327, 22233.637695017984, 22928.19546390327, 22751.447486307203, 21441.065669307154, 22751.447486307203
32, 23032.910050917493, 21624.61871472892, 23032.910050917493, 22807.696669826448, 21486.016880228846, 22807.696669826448
33, 23032.910050917493, 21624.61871472892, 23032.910050917493, 22849.01196259926, 21434.48167506387, 22849.01196259926
34, 23032.910050917493, 21624.61871472892, 23032.910050917493, 22889.663053577322, 21488.36847076647, 22889.663053577322
35, 23066.05870202903, 21655.429531939644, 23066.05870202903, 22945.47826575356, 21644.060565455748, 22945.47826575356
36, 23150.923758297748, 21804.39682502166, 23150.923758297748, 22989.032392392237, 21657.982230802318, 22989.032392392237
37, 23219.36009744573, 22144.078877262426, 23219.36009744573, 23025.224706937963, 21701.73980939147, 23025.224706937963
38, 23219.36009744573, 22144.078877262426, 23219.36009744573, 23064.407355023097, 21767.517529757697, 23064.407355023097
39, 23360.278597496716, 22050.13866383126, 23360.278597496716, 23112.261045243995, 21815.607744970337, 23112.261045243995
40, 23418.324215959154, 21822.320813779334, 23418.324215959154, 23158.730287532184, 21740.882747691358, 23158.730287532184
41, 23431.947477248283, 21789.041464160353, 23431.947477248283, 23209.50549960996, 21779.42840194757, 23209.50549960996
42, 23565.103662974612, 21750.055294961796, 23565.103662974612, 23265.28600494683, 21797.620270717667, 23265.28600494683
43, 23565.103662974612, 21750.055294961796, 23565.103662974612, 23313.62092796559, 21738.54895374761, 23313.62092796559
44, 23565.103662974612, 21750.055294961796, 23565.103662974612, 23372.49417177943, 21865.327205031343, 23372.49417177943
45, 23580.11174891369, 21449.70142089034, 23580.11174891369, 23412.572323732882, 21881.88838298469, 23412.572323732882
46, 23580.11174891369, 21449.70142089034, 23580.11174891369, 23448.553744530116, 21812.296246918697, 23448.553744530116
47, 23670.505638229977, 21638.685927438546, 23670.505638229977, 23490.595572923474, 21805.969096239874, 23490.595572923474
48, 23670.505638229977, 21638.685927438546, 23670.505638229977, 23520.789044201745, 21812.485079732956, 23520.789044201745
49, 23714.562678050166, 21757.011529398722, 23714.562678050166, 23561.292507943595, 21773.034931692666, 23561.292507943595
50, 23717.39785948812, 21689.092058110473, 23717.39785948812, 23588.273063462864, 21727.909939942598, 23588.273063462864
51, 23752.26117211983, 21894.131983580188, 23752.26117211983, 23621.693484056625, 21712.174568166854, 23621.693484056625
